Peak Name,RT,RRT,LCAP ,Area ,Height ,As (EP),Amount ,id,excel_sheet
,2.09335,n.a.,0.010206328576600676,0.006001256411896328,0.11064327117330484,0.669932148183895,n.a.,JJS-21-017,JJS-21-017-FILTER-AVGJJS-21-017.xls
,2.27335,n.a.,0.05129586363970803,0.03016164218711511,0.6365170708266246,0.9473754300008977,n.a.,JJS-21-017,JJS-21-017-FILTER-AVGJJS-21-017.xls
,2.506683333333333,n.a.,0.09349713743274432,0.05497572327806531,1.2062160627474614,1.0527822612911184,n.a.,JJS-21-017,JJS-21-017-FILTER-AVGJJS-21-017.xls
Cis Acid,3.850016666666667,n.a.,0.1253752964939534,0.07371987843922018,0.8636840794350971,0.9808084182616369,0.0008058817023504021,JJS-21-017,JJS-21-017-FILTER-AVGJJS-21-017.xls
,5.42335,n.a.,0.2776345072175208,0.16324732778275444,1.45842425335504,0.9476807541599817,n.a.,JJS-21-017,JJS-21-017-FILTER-AVGJJS-21-017.xls
Cis Mono Ester,7.9466833333333335,n.a.,0.21546422638989451,0.12669159732140448,1.099553623060943,0.9579388326624776,n.a.,JJS-21-017,JJS-21-017-FILTER-AVGJJS-21-017.xls
,10.26335,n.a.,0.012362331937733688,0.007268972701643576,0.06903244949695334,0.8854699003709663,n.a.,JJS-21-017,JJS-21-017-FILTER-AVGJJS-21-017.xls
,11.496683333333333,n.a.,0.011635480672361987,0.006841588771754489,0.05376581516989529,0.6802220466470148,n.a.,JJS-21-017,JJS-21-017-FILTER-AVGJJS-21-017.xls
Cis/Trans Atracurium,13.086683333333333,n.a.,0.08779425515931517,0.051622464703951744,0.5148610815117525,n.a.,n.a.,JJS-21-017,JJS-21-017-FILTER-AVGJJS-21-017.xls
Cis,13.366683333333333,n.a.,97.99396899078647,57.61983168770328,577.5440244062864,1.1949374914455086,0.5010968603662719,JJS-21-017,JJS-21-017-FILTER-AVGJJS-21-017.xls
cis-monoacrylate,15.280016666666667,n.a.,0.25594688391121,0.15049514295458982,0.9141791247091928,n.a.,n.a.,JJS-21-017,JJS-21-017-FILTER-AVGJJS-21-017.xls
,16.216683333333332,n.a.,0.8648186977824907,0.5085079043108357,0.3660678393244732,n.a.,n.a.,JJS-21-017,JJS-21-017-FILTER-AVGJJS-21-017.xls
,2.2700666666666667,n.a.,0.050871453642555554,0.03026986963140767,0.6409850908825035,0.9951274511315372,n.a.,JJS-21-017,JJS-21-017-PF4JJS-21-017.xls
,2.5100666666666664,n.a.,0.09184944339733689,0.054652864785231195,1.1965800974841,0.9764518506041754,n.a.,JJS-21-017,JJS-21-017-PF4JJS-21-017.xls
Cis Acid,3.8500666666666667,n.a.,0.12061869278935619,0.07177133430270913,0.8588252367463811,1.0021417978697276,0.0007845808524428553,JJS-21-017,JJS-21-017-PF4JJS-21-017.xls
,5.4234,n.a.,0.28429884895052254,0.16916538604457435,1.5008616861550368,0.9476038733976576,n.a.,JJS-21-017,JJS-21-017-PF4JJS-21-017.xls
Cis Mono Ester,7.946733333333333,n.a.,0.20689743300029464,0.12310948234341057,1.0976069667133979,0.9173076043717462,n.a.,JJS-21-017,JJS-21-017-PF4JJS-21-017.xls
