,0.29,0.32,0.53,0.73,0.91,0.94,1.0,1.03,1.07,1.11,1.19,1.35,1.82,1.85,1.9,2.2,2.36,2.72,2.77,2.87,3.52,3.68
CIP BLANK,38.17,0.0,0.0,0.0,0.0,0.0,8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.88,0.0,15.6
LT-21-027-CIP-WET-CAKE-B,0.0,0.0,0.04,0.08,0.0,0.01,98.71,0.0,0.04,0.05,0.02,0.0,0.0,0.05,0.07,0.0,0.07,0.04,0.05,0.0,0.76,0.0
NTR-21-006-S1,0.0,0.0,0.0,0.07,0.26,0.0,0.05,99.51,0.0,0.0,0.0,0.05,0.02,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
R5 BLANK,21.24,27.37,0.0,0.0,0.0,0.0,7.39,0.0,0.0,44.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
